# Splunk AI Toolkit Agent Launchpad egress IPs, one /32 per supported AWS region.
# This is the single source of truth read by mcp/deploy-mcp.sh and utils/whitelist-agentcore-ips.sh.
# Regenerate from the docs with: utils/fetch-agentcore-ips.sh
# Source: https://help.splunk.com/en/splunk-cloud-platform/apply-machine-learning/use-ai-toolkit/6.0.0/ai-toolkit-connections-containers-and-agents/ai-toolkit-agent-launchpad
# Columns: <aws-region><TAB><ip>
ap-south-1	13.232.70.162
eu-west-1	63.34.220.31
eu-central-1	18.198.64.113
sa-east-1	18.230.120.21
us-east-1	3.219.129.143
us-west-2	44.244.241.119
ap-southeast-1	13.213.186.218
ap-southeast-2	52.65.76.138
ap-northeast-1	52.68.109.232
ap-northeast-2	3.39.209.38
ca-central-1	52.60.163.168
eu-west-2	16.61.156.166
eu-west-3	15.188.158.23
eu-south-1	15.161.176.61
